,id,energy_above_hull
546,mp-1013533,
547,mp-1013531,
548,mp-1013532,
549,mp-1013526,
550,mp-1013534,
551,mp-1013537,
552,mp-1013536,
553,mp-1013540,
554,mp-1013544,
555,mp-1013542,
556,mp-1013547,
557,mp-1013546,
558,mp-1013548,
559,mp-1013535,
560,mp-1013549,
561,mp-1013541,
562,mp-1013550,
563,mp-1013551,
564,mp-1013545,
565,mp-1013552,
566,mp-1013554,
567,mp-1013543,
568,mp-1013553,
569,mp-1013557,
570,mp-1013559,
571,mp-1013560,
572,mp-1013561,
573,mp-1013564,
574,mp-1013563,
575,mp-1013582,
576,mp-1013583,
577,mp-1013555,
578,mp-1013584,
579,mp-1013558,
580,mp-1013585,
581,mp-1013642,
582,mp-1013562,
583,mp-1013588,
584,mp-1013643,
585,mp-1013587,
586,mp-1013691,
587,mp-1013702,
588,mp-1013704,
589,mp-1013703,
590,mp-1013586,
591,mp-1013707,
592,mp-1013706,
593,mp-1013709,
594,mp-1013711,
595,mp-1013710,
596,mp-1013712,
597,mp-1013713,
598,mp-1013714,
599,mp-1013705,
600,mp-1013733,
601,mp-1013719,
602,mp-1013716,
603,mp-1013708,
604,mp-1013734,
605,mp-1013735,
606,mp-1013736,
607,mp-1013737,
608,mp-1013738,
609,mp-10139,
610,mp-1013900,
611,mp-10140,
612,mp-1014005,
613,mp-1014013,
614,mp-1014111,
615,mp-10141,
616,mp-10142,
617,mp-1014160,
618,mp-1014212,
619,mp-1014214,
620,mp-1014227,
621,mp-1014229,
622,mp-1014230,
623,mp-1014244,
624,mp-1014246,
625,mp-1014138,
626,mp-1014251,
627,mp-1014261,
628,mp-1014264,
629,mp-1014265,
630,mp-1014219,
631,mp-1014286,
632,mp-1014281,
633,mp-1014287,
634,mp-1014231,
635,mp-1014296,
636,mp-1014298,
637,mp-10143,
638,mp-1014307,
639,mp-1014303,
640,mp-1014311,
641,mp-1014324,
642,mp-1014373,
643,mp-1014366,
644,mp-1014316,
645,mp-10144,
646,mp-1014460,
647,mp-1014462,
648,mp-1014478,
649,mp-10145,
650,mp-1014509,
651,mp-1014873,
652,mp-10149,
653,mp-1015061,
654,mp-10148,
655,mp-10154,
656,mp-1015612,
657,mp-1014454,
658,mp-1015811,
659,mp-10157,
660,mp-1015814,
661,mp-1015908,
662,mp-10161,
663,mp-10159,
664,mp-1016227,
665,mp-1016200,
666,mp-1016231,
667,mp-1016296,
668,mp-1016329,
669,mp-1016330,
670,mp-1016334,
671,mp-1016197,
672,mp-10164,
673,mp-1016372,
674,mp-10163,
675,mp-1016304,
676,mp-1016428,
677,mp-1016475,
678,mp-1016442,
679,mp-1016572,
680,mp-10165,
681,mp-1016377,
682,mp-10166,
683,mp-1016337,
684,mp-1016559,
685,mp-1016576,
686,mp-1016601,
687,mp-1016630,
688,mp-1016639,
689,mp-1016652,
690,mp-1016647,
691,mp-1016659,
692,mp-1016650,
693,mp-1016819,
694,mp-1016820,
695,mp-1016821,
696,mp-1016823,
697,mp-1016825,
698,mp-1016827,
699,mp-10167,
700,mp-1016828,
701,mp-1016831,
702,mp-1016836,
703,mp-1016837,
704,mp-1016826,
705,mp-1016840,
706,mp-1016841,
707,mp-1016842,
708,mp-1016833,
709,mp-1016830,
710,mp-1016829,
711,mp-1016843,
712,mp-1016845,
713,mp-1016835,
714,mp-1016846,
715,mp-1016849,
716,mp-1016850,
717,mp-1016851,
718,mp-1016853,
719,mp-1016852,
720,mp-1016854,
721,mp-1016871,
722,mp-1016874,
723,mp-1016873,
724,mp-1016848,
725,mp-1016875,
726,mp-1016876,
727,mp-1016877,
728,mp-1016880,
729,mp-1016881,
730,mp-1016872,
731,mp-1016882,
732,mp-1016883,
733,mp-1016884,
734,mp-1016886,
735,mp-1016900,
736,mp-1016904,
737,mp-1016903,
738,mp-1016879,
739,mp-1016927,
740,mp-1016926,
741,mp-1016928,
742,mp-1016929,
743,mp-1016930,
744,mp-1016931,
745,mp-1016932,
746,mp-1016902,
747,mp-1016999,
748,mp-1017000,
749,mp-1017,
750,mp-1017109,
751,mp-1017097,
752,mp-1017167,
753,mp-1017173,
754,mp-1017182,
755,mp-1017199,
756,mp-10172,
757,mp-1016938,
758,mp-1017207,
759,mp-1017220,
760,mp-1017230,
761,mp-1017241,
762,mp-1017277,
763,mp-10173,
764,mp-1017377,
765,mp-1017347,
766,mp-1017387,
767,mp-1017418,
768,mp-1017427,
769,mp-1017439,
770,mp-1017441,
771,mp-1017447,
772,mp-1017446,
773,mp-1017459,
774,mp-1017465,
775,mp-1017491,
776,mp-1017497,
777,mp-1017467,
778,mp-1017507,
779,mp-10175,
780,mp-1017508,
781,mp-1017509,
782,mp-1017510,
783,mp-1017511,
784,mp-1017514,
785,mp-1017515,
786,mp-1017519,
787,mp-1017516,
788,mp-1017530,
789,mp-1017529,
790,mp-1017531,
791,mp-1017532,
792,mp-1017534,
793,mp-1017539,
794,mp-1017540,
795,mp-1017541,
796,mp-1017542,
797,mp-1017546,
798,mp-1017544,
799,mp-1017548,
800,mp-1017543,
801,mp-1017533,
802,mp-1017545,
803,mp-1017549,
804,mp-1017550,
805,mp-1017551,
806,mp-1017552,
807,mp-1017553,
808,mp-1017555,
809,mp-1017554,
810,mp-1017558,
811,mp-1017563,
812,mp-1017559,
813,mp-1017565,
814,mp-1017566,
815,mp-1017578,
816,mp-1017556,
817,mp-1017557,
818,mp-1017564,
819,mp-1017567,
820,mp-1017577,
821,mp-1017579,
822,mp-1017580,
823,mp-1017591,
824,mp-1017628,
825,mp-1017629,
826,mp-1017581,
827,mp-1017582,
828,mp-1017630,
829,mp-1017631,
830,mp-1017632,
831,mp-1017982,
832,mp-1017983,
833,mp-10179,
834,mp-1017626,
835,mp-1017627,
836,mp-10177,
837,mp-1017985,
838,mp-10178,
839,mp-1017988,
840,mp-1018012,
841,mp-1018009,
842,mp-10180,
843,mp-1018013,
844,mp-1018015,
845,mp-1018016,
846,mp-1017981,
847,mp-1017987,
848,mp-1018017,
849,mp-1018019,
850,mp-1018021,
851,mp-1018022,
852,mp-1018020,
853,mp-1018026,
854,mp-1018023,
855,mp-1018025,
856,mp-1018024,
857,mp-1018027,
858,mp-1018018,
859,mp-1018029,
860,mp-1018028,
861,mp-1018030,
862,mp-1018031,
863,mp-1018032,
864,mp-1018033,
865,mp-1018040,
866,mp-1018041,
867,mp-1018043,
868,mp-1018045,
869,mp-1018047,
870,mp-1018046,
871,mp-1018048,
872,mp-1018052,
873,mp-1018049,
874,mp-1018053,
875,mp-1018050,
876,mp-1018051,
877,mp-1018054,
878,mp-1018059,
879,mp-1018056,
880,mp-1018057,
881,mp-1018060,
882,mp-1018061,
883,mp-1018064,
884,mp-1018062,
885,mp-1018063,
886,mp-1018065,
887,mp-1018055,
888,mp-1018066,
889,mp-1018067,
890,mp-1018068,
