id,energy_above_hull,crystal_system,point_group
mp-1185030,1.195117975,Cubic,m-3m
mp-1185029,0.171254501,Cubic,m-3m
mp-1185031,0.167733026,Hexagonal,-6m2
mp-1185034,0.015144305,Cubic,m-3m
mp-1185037,0.032677596,Cubic,m-3m
mp-1185036,0.438820458,Cubic,m-3m
mp-1185022,1.41068507,Cubic,m-3m
mp-1185041,0.021187245,Cubic,m-3m
mp-1185038,0.00010408,Cubic,m-3m
mp-1185040,0.109972903,Hexagonal,6/mmm
mp-1185043,0.249316443,Cubic,m-3m
mp-1185044,0.016252188,Cubic,m-3m
mp-1185046,0.005606385,Cubic,m-3m
mp-1185039,0.048984718,Tetragonal,4/mmm
mp-1185047,0.235045492,Cubic,m-3m
mp-1185045,0.115389987,Hexagonal,-6m2
mp-1185048,0.015612341,Cubic,m-3m
mp-1185049,0.45629871,Cubic,m-3m
mp-1185053,0.434980861,Cubic,m-3m
mp-1185050,0,Cubic,m-3m
mp-1185052,0.022386292,Hexagonal,6/mmm
mp-1185051,0.71610735,Hexagonal,-6m2
mp-1185056,0.469136571,Cubic,m-3m
mp-1185057,0.154602648,Cubic,m-3m
mp-1185054,0.126429445,Tetragonal,4/mmm
mp-1185058,0.00411171,Cubic,m-3m
mp-1185063,0.468592454,Cubic,m-3m
mp-1185062,0.00726366,Cubic,m-3m
mp-1185059,1.050004027,Tetragonal,4/mmm
mp-1185061,0.09596663,Cubic,m-3m
mp-1185064,0.001503251,Tetragonal,4/mmm
mp-1185068,0.002414709,Tetragonal,4/mmm
mp-1185067,0.814396606,Tetragonal,4/mmm
mp-1185065,0.286762758,Cubic,m-3m
mp-1185060,0.014032119,Cubic,m-3m
mp-1185066,0.063854072,Cubic,m-3m
mp-1185071,0.00555866,Tetragonal,4/mmm
mp-1185070,0.167679187,Cubic,m-3m
mp-1185074,0.016143029,Cubic,m-3m
mp-1185072,0.112024372,Cubic,m-3m
mp-1185073,0.59548088,Cubic,m-3m
mp-1185076,0,Cubic,m-3m
mp-1185069,0.010829956,Cubic,m-3m
mp-1185077,1.20713484,Tetragonal,4/mmm
mp-1185075,1.4087605,Cubic,m-3m
mp-1185042,0.01605325,Cubic,m-3m
mp-1185080,0.017470246,Cubic,m-3m
mp-1185078,0.007907004,Tetragonal,4/mmm
mp-1185079,0.583490484,Cubic,m-3m
mp-1185081,0.227812498,Cubic,m-3m
mp-1185084,0.424991309,Tetragonal,4/mmm
mp-1185086,0,Cubic,m-3m
mp-1185082,0.168169864,Hexagonal,-6m2
mp-1185085,0.096903817,Tetragonal,4/mmm
mp-1185089,0,Tetragonal,4/mmm
mp-1185087,1.504485483,Hexagonal,-6m2
mp-1185088,0.481701271,Cubic,m-3m
mp-1185090,0.016391653,Cubic,m-3m
mp-1185083,0.499548985,Tetragonal,4/mmm
mp-1185091,0.04760645,Cubic,m-3m
mp-1185092,0.044066604,Cubic,m-3m
mp-1185095,0.578555391,Cubic,m-3m
mp-1185093,1.347618437,Cubic,m-3m
mp-1185094,0,Tetragonal,4/mmm
mp-1185096,0.052439683,Tetragonal,4/mmm
mp-1185097,0.180326261,Cubic,m-3m
mp-1185099,0.011222047,Tetragonal,4/mmm
mp-1185098,0.067357985,Cubic,m-3m
mp-1185101,0.01641532,Cubic,m-3m
mp-1185100,0,Cubic,m-3m
mp-1185103,0.022088427,Hexagonal,6/mmm
mp-1185102,0.015063712,Tetragonal,4/mmm
mp-1185104,0.108564164,Cubic,m-3m
mp-1185107,0.017861021,Hexagonal,6/mmm
mp-1185106,0.102009641,Orthorhombic,mm2
mp-1185108,0.981723653,Cubic,m-3m
mp-1185118,0.058336264,Tetragonal,4/mmm
mp-1185113,0.045807601,Tetragonal,4/mmm
mp-1185114,1.501891849,Tetragonal,4/mmm
mp-1185116,0.580272184,Hexagonal,6/mmm
mp-1185115,0.224624041,Cubic,m-3m
mp-1185112,0.020870074,Tetragonal,4/mmm
mp-1185109,0.428313686,Tetragonal,4/mmm
mp-1185111,0.532269252,Tetragonal,4/mmm
mp-1185110,0.574014815,Tetragonal,4/mmm
mp-1185117,0.354103149,Tetragonal,4/mmm
mp-1185119,0.022149216,Hexagonal,6/mmm
mp-1185120,0.079257484,Tetragonal,4/mmm
mp-1185122,0.525741509,Tetragonal,4/mmm
mp-1185121,0.054623842,Tetragonal,4/mmm
mp-1185123,0.586192473,Hexagonal,6/mmm
mp-1185125,0.57923693,Cubic,m-3m
mp-1185124,0.019754086,Tetragonal,4/mmm
mp-1185127,0.060763514,Cubic,m-3m
mp-1185126,0.021985509,Cubic,m-3m
mp-1185128,0.200598299,Hexagonal,6/mmm
mp-1185130,0.009431972,Hexagonal,6/mmm
mp-1185131,0.007607627,Cubic,m-3m
mp-1185129,0,Cubic,m-3m
mp-1185134,0.005004209,Tetragonal,4/mmm
mp-1185139,0.882094433,Tetragonal,4/mmm
mp-1185136,0.009450162,Tetragonal,4/mmm
mp-1185133,0.022688263,Cubic,m-3m
mp-1185140,0.580110775,Cubic,m-3m
mp-1185138,0,Cubic,m-3m
mp-1185135,0,Hexagonal,6/mmm
mp-1185143,0.012144953,Hexagonal,6/mmm
mp-1185132,0.017328075,Hexagonal,6/mmm
mp-1185137,0.157273299,Cubic,m-3m
mp-1185148,0.051830397,Tetragonal,4/mmm
mp-1185146,0.553352431,Tetragonal,4/mmm
mp-1185147,0.025669002,Hexagonal,6/mmm
mp-1185145,0.173691974,Hexagonal,-6m2
mp-1185150,0.020501906,Tetragonal,4/mmm
mp-1185151,0.057299161,Hexagonal,6/mmm
mp-1185153,0.273391424,Hexagonal,6/mmm
mp-1185152,0.031620374,Tetragonal,4/mmm
mp-1185154,0.078846245,Tetragonal,4/mmm
mp-1185156,0.065549693,Tetragonal,4/mmm
mp-1185155,0.09155345,Hexagonal,6/mmm
mp-1185158,0.423978302,Cubic,m-3m
mp-1185157,0.557607821,Hexagonal,6/mmm
mp-1185160,0.031655005,Hexagonal,6/mmm
mp-1185162,0.097272569,Hexagonal,6/mmm
mp-1185165,0.369308457,Hexagonal,6/mmm
mp-1185166,0.034079231,Hexagonal,6/mmm
mp-1185163,0.533002301,Tetragonal,4/mmm
mp-1185161,0.24660317,Tetragonal,4/mmm
mp-1185170,0.029487421,Tetragonal,4/mmm
mp-1185169,0.086559753,Cubic,m-3m
mp-1185174,0.02230305,Tetragonal,4/mmm
mp-1185173,0.864234672,Cubic,m-3m
mp-1185168,0.023337125,Cubic,m-3m
mp-1185180,0.459610073,Tetragonal,4/mmm
mp-1185183,0.010114988,Cubic,m-3m
mp-1185178,0.01114296,Cubic,m-3m
mp-1185181,0.033653949,Cubic,m-3m
mp-1185184,0.699095513,Cubic,m-3m
mp-1185185,0.406402215,Cubic,m-3m
mp-1185187,0.748373985,Cubic,m-3m
mp-1185182,0,Tetragonal,4/mmm
mp-1185188,0.978084338,Tetragonal,4/mmm
mp-1185186,0.017389086,Cubic,m-3m
mp-1185189,0.857096299,Cubic,m-3m
mp-1185190,0.013919479,Hexagonal,6/mmm
mp-1185191,0.203587223,Cubic,m-3m
