Composition,Density
Al3 Sn1,4.2388881578165725
Al3 Tc1,5.007580467273919
Al3 Tc2,5.464644799301861
Al3 Tl1,5.739296558237878
Al3 V1,3.676779817281535
Al3 W1 C4,6.164744876978809
Al3 Zn1,3.763161823458562
Al4 C1 O1,2.350230945981157
Al4 C3,2.930804106770353
Al4 Ge2 W3,9.722088584801764
Al4 Ni3 Pt1,7.84833092870337
Al4 Si1,2.8352485189889616
Al4 Si1 Pd1,3.742360153338143
Al5 Cu1 Mo2,5.519316024024231
Al5 Cu1 W2,7.959411154090757
Al6 Ge1 W1,5.442555996747445
Ar1,1.4735012557963914
As1,0.9619899658292644
As1 Au3,14.952546017377347
As1 I3,4.243515720191169
As1 N1 F6,3.031091025993628
As1 P1,3.811700291702115
As1 P1 Os1,10.11721438334779
As1 P1 Rh4,9.468423328811392
As1 P1 Ru1,7.141666143491955
As1 Pb3,10.043780622519115
As1 Pd2,9.898717520438188
As1 Pd4,10.562237728385528
As1 Pd6 Pb1,11.55492676336582
As1 Pt3,16.952378926008883
As1 Rh1,9.196489435765423
As1 Rh1 O4,6.394883628033193
As1 Rh2,9.775481970156644
As1 Ru1,9.409153356035254
As1 Se1 Br1,4.877394910658751
As2 Os1,10.78808764833354
As2 Pb1 O6,6.295913656727796
As2 Pd1 O6,5.869564293176505
As2 Ru1,8.051426795883398
As2 S1,4.941305124568991
As2 Se1,5.7470409429292495
As2 W1,10.6279047810263
As3 Pd4 Pb1,9.462475908721666
As3 W1,9.244492835377317
As4 C3,5.696588680355839
Au1,16.730993180447804
Au1 Br1,7.089623160076735
Au1 Br1 O2,5.476871494795151
Au1 Br2,5.0538949344254
Au1 Br3 N2,4.3461876945182
Au1 C1,9.954094866193968
Au1 C1 Cl1 O1,2.362820517001423
Au1 C1 N1,6.236492441303733
Au1 C2,4.240266569128748
Au1 Cl1,5.719088122615026
Au1 Cl1 O2,4.830624575200211
Au1 I1,6.757826281741869
Au1 I2,5.456740404003336
Au1 N1,11.3292425490154
Au1 N2,8.133820606952158
Au1 O2 F1,6.393328589412737
Au1 O2 F6,3.4467633726194453
Au1 S1,8.32725904758751
Au1 S2,5.518603388852944
Au1 Se1,8.223421519004054
Au2 S1,9.253936492736337
Au3 Br1,12.53995184875719
Au3 Cl1,13.65910233404898
Au3 N1,14.105062207153113
Au3 O1,14.254963033870544
Au3 S1,14.283076016506907
B1,1.8947631751498324
B1 As1,5.087631340714321
B1 As1 O4,3.4378097245326944
B1 Au1,10.933355715229084
B1 Au1 O3,9.934466602061132
B1 Au3,15.313582976830038
B1 Br3,2.3783031898137827
B1 C1,0.8817167968689347
B1 C2 N1,3.0639469543639484
B1 C5,3.256526950675964
B1 C7,3.3149905660656303
B1 Cl3,1.3986720863057134
B1 H6 N1,0.4757714560270345
B1 I3,3.1014613139434752
B1 Ir1,15.38477010210741
B1 Ir1 O3,10.460284216710496
B1 Mo1,8.475324270781801
B1 Mo1 C1,7.535410173791815
B1 Mo1 W1,12.990790074687958
B1 Mo1 W1 C1,11.916599910807264
B1 Mo2,9.106683076768183
B1 Mo2 C1,8.481290426631558
B1 N1,1.3764614522857497
B1 Os1,14.88461522725515
B1 Os1 O3,10.45298164634174
B1 Os3,18.56460295734492
B1 P1,2.9526018183160376
B1 P1 O4,2.6535315382148594
B1 P1 S4,1.6117612325409585
B1 Pb1 O3,9.741156187118827
B1 Pb3,9.75858065311388
B1 Pd1 O3,6.806833934712135
B1 Pd2,9.523490139432395
B1 Pd2 Br1,7.99211309473204
B1 Pd4,9.80420016098134
B1 Pd5,10.435381996644738
B1 Pt1,14.38971917085515
B1 Pt1 O3,10.291807458038486
B1 Pt2,16.98531080327785
B1 Pt3,16.195295221865806
B1 Rh1,8.828158977086561
B1 Ru1,7.649510798951646
B1 Ru3,10.46549358456595
B1 Sb1,5.974007196039766
B1 Sb1 O3,6.870745471143401
B1 Se2 Cl1,5.060293874997788
B1 Te1 O3,6.960377106887915
B1 Te2 As1,6.713955219597869
B1 W1,15.318276657145134
B1 W2,16.759719411890774
B2 As1 P1,4.128914812768751
B2 Au1,10.893524124301644
B2 C1 N1,3.111524574776568
B2 Ir1 Cl1,8.939078500536343
B2 Mo1,7.035996278697895
B2 Mo1 Ru1,8.88642699649935
B2 O1,2.1533364759270577
B2 Os1,12.647957738388936
B2 Pt3,15.748413437816392
B2 Ru1,7.467945844068766
B2 Ru1 W1,12.374671099200722
B2 W1,12.751833555707153
B3 Mo1,5.760905143492877
B4 Mo1 Ir1,9.694701446429267
B4 Mo1 Ru2,7.270011363395471
B4 Os1 W1,12.329524939697516
